Indicadores Brasil;2013;2014;2015;2016;2017;2018;2019;Unidade 
PIB Total (a);5331,619;5778,953;5995,787;6269,328;6583,319;6889,176084;7256,925592;R$ bilhões correntes
PIB Total (a);3,00482267;0,50395574;-3,545763393;-3,305454313;1,322869054;1,317223997;1,136585573;variação %
   Agropecuária ;8,361443982;2,790794457;3,314331433;-5,224217757;14,15238623;1,366856432;1,251738664;variação %
   Indústria ;2,16621844;-1,508183799;-5,761503313;-4,566298554;-0,500729978;0,537584126;0,455891006;variação %
   Serviços;2,753827776;0,985403433;-2,733761528;-2,221343647;0,765663238;1,477575206;1,250631399;variação %
Taxa de Investimento (b);20,91192188;19,8730289;19,77681996;15,52432733;14,56376335;15,23641487;15,35664872;% do PIB
Produção industrial (c);2,075;-3,020654747;-8,249852681;-6,413432425;2,5;0,985174558;-1,108164425;variação %
Volume de vendas do comércio varejista (l);3,591136769;-1,655466317;-8,641666667;-8,683754447;4,015582859;5,022567944;5,022567944;variação %
Arrecadação IPI ;47,10078204;51,6250351;49,26643499;44,95130826;48,47435588;54,60588166;56,81429093;R$ bilhões correntes
Arrecadação ICMS Brasil (d);368,766226;388,115531;398,7229975;415,0898084;448,5766423;465,4279378;465,2323808;R$ bilhões correntes
Arrecadação ICMS SP (d);121,912222;122,83614;125,990236;125,8678807;132,259226;139,810486;149,6204831;R$ bilhões correntes
ICMS SP/ICMS Brasil;33,05948685;31,64937504;31,59843721;30,32304771;29,48419813;30,03912628;32,16037603;Particip. %
Massa de rendimentos ;2,672880123;2,602451191;-0,574279306;-4,060427915;1,487589397;3,143688695;2,458056609;variação %
Rendimento médio real;1,919757212;1,045931812;0,116349047;-2,32483394;1,4734379;1,596166318;0,574529205;variação %
Emprego (e);0,743285314;1,51362882;0,230877852;-1,776359766;0,012482513;1,524155733;1,875272052;variação %
Taxa de desemprego (média);7,125;6,825;8,5;11,5;12,725;12,25;11,875;% da PEA
Saldo da balança comercial ;2,549;-3,743;19,677;47,682;66,99247747;58,65860134;46,65744384;US$ bi
    Exportações (FOB);242,178;225,102;191,132;185,233;217,7404963;239,8891702;223,9986691;US$ bi
    Importações (FOB);239,629;228,845;171,455;137,551;150,7480188;181,2305689;177,3412252;US$ bi
Reservas externas (f) ;358,8075981;363,5505753;356,4636802;365,0162213;373,9720169;379,7217845;366,3755025;US$ bi
Juros nominais (cdi-over);  9,9;11,65;14,15;13,65;  6,9;6,4;4,4; % ao ano
Taxa de Câmbio Efetiva Real (g);8,688066992;1,037988229;25,5877992;-20,32383201;4,424216765;8,70666937;1,976689977;variação %
Inflação (h);;;;;;;;
    IGP-DI;5,510610443;3,68575515;10,53916695;7,172908253;-0,520940445;6,976670336;14,79017214;variação %
    IPA;7,871752041;1,316237309;9,648940141;6,702189033;1,21819348;10,48972889;18,36861141;variação %
    INPC;5,56273501;6,228383519;11,27606408;6,579949307;2,067284923;5,571994705;10,30323147;variação %
    IPCA;5,910679406;6,407466909;10,67302798;6,287988213;2,94742132;6,803400549;11,40251691;variação %
